titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"json2data v2.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"SAUCE v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"quizez v2.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"Produto farmacêutico antibacteriano","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmácia"
"Solaris Mapper","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Geração da Energia Elétrica"
"DIMENSIONAMENTO DE REATOR DE MANTA DE LODO COM FLUXO ASCENDENTE (UASB) PARA ESGOTOS DOMÉSTICOS","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Saneamento Básico"
"MinhaAju - CrimesAmbientais","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"VIDRO BORO, ALUMÍNIO, MAGNÉSIO E LÍTIO COM DOPAGEM OPCIONAL DE CÉRIO E RESPECTIVO PROCESSO DE OBTENÇÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física da Matéria Condensada"
"Batom com corante de resíduo de semente de urucum e  subproduto de manteiga clarificada, adicionado de óleo de Jatropha curcas","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"MICROCÁPSULAS DO CORANTE AZUL DE JENIPAPO (GENIPA AMERICANA L.) PELA TÉCNICA DE SPRAY DRYER","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"GEOTEXTIL TECIDO TIPO GEOGRID CONFECCIONADO COM FIBRAS DE JUNCO (Eleocharis sp.) PARA RESISTÊNCIA À EROSÃO DO SOLO E PROMOÇÃO DO CRESCIMENTO VEGETAL","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Manejo e Conservação do Solo"
"Nutri Consulta Max","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Análise Nutricional de População"
"BARRA DE CEREAL ENRIQUECIDA COM A FARINHA DO BAGAÇO DO MALTE DE CEVADA OBTIDO DE CERVEJARIAS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"Coolclear","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fonoaudiologia"
"SOLUÇÃO HIDROALCÓOLICA DE PRÓPOLIS VERMELHA PARA PREVENÇÃO DE INFECÇÕES PERIODONTAIS DA CAVIDADE BUCAL DE CÃES","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Biologia Geral"
"Jogo Sério Aritmetix","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"Jogo Animal - Quiz Educacional","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"PROCESSO DE OBTENÇÃO DO EXTRATO SECO DE Hyptis pectinata (L.) Kunt. E DESENVOLVIMENTO DE ESPONJA PARA A CICATRIZAÇÃO DE FERIDAS","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacognosia"
"Sistemas Hermes - Gerenciador de Medicamentos","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Computação"
"OxyApp","Marca","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Saúde Coletiva"
"USO ASSOCIADO DE RESÍDUOS DE MILHO E ABACAXI PARA OBTENÇÃO DE BIOSSURFACTANTE","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Química"
"Método de aquisição e tratamento de dados de rede de sensores sem fio identificados por diferença de potencial com múltiplo monitoramento remoto","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Metrologia, Técnicas Gerais de Laboratório, Sistema de Instrumentação"
"MÉTODO DE AQUISIÇÃO DE IMAGENS TERMOGRÁFICAS EM DISPOSITIVOS FOTOVOLTAICOS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Aproveitamento da Energia"
"Caixa Reciclável para armazenamento de canetas de insulina feita em Impressora 3D: INSULINBOX","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Proteínas"
"FILME BIODEGRADÁVEL CONTENDO EXTRATO BIOATIVO DA ROMÃ (Punica granatum L.) PARA CONSERVAÇÃO DE CARNE DE FRANGO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"Batom semi-sólido de composição e pigmentação natural, 100% vegano","Patente","CAMPUS PROFESSOR ALBERTO CARVALHO","Ciências Exatas e da Terra","Físico-Química"
"PHANTOM-TELLES: SISTEMA DE MEDIDAS PONTO A PONTO PARA PROCEDIMENTOS DOSIMÉTRICOS EM RADIOTERAPIA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física Nuclear"
"Kheiron: Uma aplicação web para acompanhamento pedagógico focado em treinamentos de programação competitiva","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"SIGES","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Nutrição"
"Avalcheck","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Outra","Tecnologia e Inovação"
"Avalcheck","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Outra","Tecnologia e Inovação"
"SILH - Sistema de Informação de Lesão Hospitalar","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Enfermagem"
"HORA DIVINA","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Bala de gelatina adicionada de microcápsulas naturais azuis","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"APP ANCORA: ANÁLISE, CONTROLE E RASTREAMENTO DE DIABETES","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Medicina Preventiva"
"App Cozinha Virtual","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Computação"
"Inoxidata","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Fundamentos Gerais de Projetos das Máquinas"
"MICROCÁPSULAS DO CORANTE AZUL DE JENIPAPO (GENIPA AMERICANA L.) PELA TÉCNICA DE LIOFILIZAÇÃO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"MICROCÁPSULAS DO CORANTE AZUL DE JENIPAPO (GENIPA AMERICANA L.) PELA TÉCNICA DE GELIFICAÇÃO IÔNICA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"Agitte.se","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Outra","Tecnologia e Inovação"
"SIGAAbot v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"data2xls v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"SAUCE","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"FOCAL","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Métodos Experimentais e Instrumentação para Partículas Elementares e Física Nuclear"
"Telles","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Métodos Experimentais e Instrumentação para Partículas Elementares e Física Nuclear"
